priority_score,keyword,cluster,is_gap,suggested_title,content_type,target_word_count,competitor_avg_words,competitor_avg_h2s,competitors_use_faq,competitors_use_tables,top_competitor
45,underpinning cost toronto,underpinning,False,How Much Does Underpinning  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,basement underpinning cost ontario,underpinning,False,How Much Does Basement Underpinning Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,how much does underpinning cost in toronto,underpinning,False,How Much Does Underpinning Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,basement lowering cost toronto,underpinning,False,How Much Does Basement Lowering  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,basement waterproofing cost toronto,waterproofing,False,How Much Does Basement Waterproofing  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,how much does basement waterproofing cost ontario,waterproofing,False,How Much Does Basement Waterproofing Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,sump pump installation cost toronto,waterproofing,False,How Much Does Sump Pump Installation  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,foundation crack repair cost toronto,foundation_repair,False,How Much Does Foundation Crack Repair  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,foundation repair cost ontario,foundation_repair,False,How Much Does Foundation Repair Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,helical pier cost ontario,foundation_repair,False,How Much Does Helical Pier Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,basement apartment cost toronto,basement_apartment,False,How Much Does Basement Apartment  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,concrete driveway cost toronto,concrete,False,How Much Does Concrete Driveway  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,stamped concrete cost per sq ft ontario,concrete,False,How Much Does Stamped Concrete Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,retaining wall cost toronto,concrete,False,How Much Does Retaining Wall  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,concrete patio cost ontario,concrete,False,How Much Does Concrete Patio Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,electrical panel upgrade cost toronto,trades,False,How Much Does Electrical Panel Upgrade  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,hvac replacement cost ontario,trades,False,How Much Does Hvac Replacement Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,heat pump cost ontario rebate,trades,False,How Much Does Heat Pump   Rebate Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,insulation cost per square foot ontario,trades,False,How Much Does Insulation  Per Square Foot Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,roofing cost toronto per square,trades,False,How Much Does Roofing  Toronto Per Square Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,deck building cost toronto,trades,False,How Much Does Deck Building  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,home addition cost per sq ft toronto,trades,False,How Much Does Home Addition   Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,painting cost per room toronto,trades,False,How Much Does Painting  Per Room Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,demolition cost toronto,trades,False,How Much Does Demolition  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,renovation cost per square foot toronto,general_reno,False,How Much Does Renovation  Per Square Foot Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,how much does a renovation cost in ontario,general_reno,False,How Much Does A Renovation  In Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,kitchen renovation cost toronto 2024,general_reno,False,How Much Does Kitchen Renovation  Toronto 2024 Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,bathroom renovation cost toronto,general_reno,False,How Much Does Bathroom Renovation  Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
45,renovation permits toronto cost,general_reno,False,How Much Does Renovation Permits Toronto Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
35,how to legalize basement apartment toronto,basement_apartment,False,How to Legalize Basement Apartment Toronto: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
35,how to hire a contractor ontario,general_reno,False,How to Hire A Contractor Ontario: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
35,how to apply for building permit toronto,how_to_guides,False,How to Apply For Building Permit Toronto: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
35,how to find a good contractor ontario,how_to_guides,False,How to Find A Good Contractor Ontario: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
35,how to insulate basement walls ontario,how_to_guides,False,How to Insulate Basement Walls Ontario: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
30,weeping tile replacement cost,waterproofing,False,How Much Does Weeping Tile Replacement Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
30,bowing basement wall repair cost,foundation_repair,False,How Much Does Bowing Basement Wall Repair Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
30,basement second unit conversion cost,basement_apartment,False,How Much Does Basement Second Unit Conversion Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
30,basement apartment separate entrance cost,basement_apartment,False,How Much Does Basement Apartment Separate Entrance Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
30,concrete steps replacement cost,concrete,False,How Much Does Concrete Steps Replacement Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
30,plumbing rough in basement cost,trades,False,How Much Does Plumbing Rough In Basement Cost in Ontario? (2026 Guide),cost-guide,2000,0,0,0%,0%,
20,how to waterproof a basement from inside,how_to_guides,False,How to Waterproof A Basement From Inside: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
20,how to check foundation cracks,how_to_guides,False,How to Check Foundation Cracks: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
20,how to lower basement floor,how_to_guides,False,How to Lower Basement Floor: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
20,how to fix bowing basement wall,how_to_guides,False,How to Fix Bowing Basement Wall: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
20,how to install weeping tile,how_to_guides,False,How to Install Weeping Tile: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
20,how to pour a concrete driveway,how_to_guides,False,How to Pour A Concrete Driveway: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
20,how to build a legal basement apartment,how_to_guides,False,How to Build A Legal Basement Apartment: Step-by-Step Ontario Guide,how-to-guide,2000,0,0,0%,0%,
15,underpinning permits toronto,underpinning,False,Underpinning Permits Toronto | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,waterproofing foundation toronto,waterproofing,False,Waterproofing Foundation Toronto | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,basement leaking after rain toronto,waterproofing,False,Basement Leaking After Rain Toronto | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,foundation repair permits ontario,foundation_repair,False,Foundation Repair Permits Ontario | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,legal basement apartment requirements ontario,basement_apartment,False,Legal Basement Apartment Requirements Ontario | Ontario Guide 2026,checklist,2000,0,0,0%,0%,
15,basement apartment building code ontario,basement_apartment,False,Basement Apartment Building Code Ontario | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,basement apartment ceiling height ontario,basement_apartment,False,Basement Apartment Ceiling Height Ontario | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,secondary suite incentive ontario,basement_apartment,False,Secondary Suite Incentive Ontario | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,basement apartment rental income toronto,basement_apartment,False,Basement Apartment Rental Income Toronto | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,concrete vs asphalt driveway ontario,concrete,False,Concrete Vs Asphalt Driveway Ontario: Which Is Better for Your Home?,comparison,2000,0,0,0%,0%,
15,home renovation rebates ontario 2024,general_reno,False,Home Renovation Rebates Ontario 2024 | Ontario Guide 2026,guide,2000,0,0,0%,0%,
15,general contractor fees ontario,general_reno,False,General Contractor Fees Ontario | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,bench underpinning explained,underpinning,False,Bench Underpinning Explained: Everything Ontario Homeowners Need to Know,explainer,2000,0,0,0%,0%,
0,what is bench underpinning,underpinning,False,What Is Bench Underpinning? Complete Ontario Homeowner Guide,explainer,2000,0,0,0%,0%,
0,underpinning vs helical piles,underpinning,False,Underpinning Vs Helical Piles: Which Is Better for Your Home?,comparison,2000,0,0,0%,0%,
0,underpinning process step by step,underpinning,False,Underpinning Process Step By Step | Ontario Guide 2026,how-to-guide,2000,0,0,0%,0%,
0,is underpinning worth it,underpinning,False,Is Underpinning Worth It | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,exterior waterproofing vs interior,waterproofing,False,Exterior Waterproofing Vs Interior: Which Is Better for Your Home?,comparison,2000,0,0,0%,0%,
0,foundation waterproofing membrane types,waterproofing,False,Foundation Waterproofing Membrane Types | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,hydrostatic pressure basement,waterproofing,False,Hydrostatic Pressure Basement | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,dampproofing vs waterproofing,waterproofing,False,Dampproofing Vs Waterproofing: Which Is Better for Your Home?,comparison,2000,0,0,0%,0%,
0,horizontal crack in basement wall,foundation_repair,False,Horizontal Crack In Basement Wall | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,carbon fiber foundation repair,foundation_repair,False,Carbon Fiber Foundation Repair | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,foundation settlement signs,foundation_repair,False,Foundation Settlement Signs | Ontario Guide 2026,checklist,2000,0,0,0%,0%,
0,epoxy vs polyurethane crack injection,foundation_repair,False,Epoxy Vs Polyurethane Crack Injection: Which Is Better for Your Home?,comparison,2000,0,0,0%,0%,
0,when to worry about foundation cracks,foundation_repair,False,When To Worry About Foundation Cracks | Ontario Guide 2026,checklist,2000,0,0,0%,0%,
0,fire separation requirements basement apartment,basement_apartment,False,Fire Separation Requirements Basement Apartment | Ontario Guide 2026,checklist,2000,0,0,0%,0%,
0,how thick should a concrete driveway be,concrete,False,How Thick Should A Concrete Driveway Be | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,concrete garage floor repair,concrete,False,Concrete Garage Floor Repair | Ontario Guide 2026,guide,2000,0,0,0%,0%,
0,renovation financing options canada,general_reno,False,Renovation Financing Options Canada | Ontario Guide 2026,guide,2000,0,0,0%,0%,
